x,y,size
207.6201477,125.6201553,5.385092258
207.5208282,125.3819427,5.629909515
207.2948761,125.3910294,5.715353966
207.2666626,125.5,5.58126688
207.3466644,125.3066635,5.609437943
207.3461609,126.5512848,7.221943855
206.9962616,126.9363327,7.872662544
207.1418457,126.74823,7.883365631
206.9966278,126.9629593,8.22201252
207.065979,127.0625,8.129487991
207.1360474,127.0612259,8.162840843
207.065979,127.0625,8.129487991
207.1360474,127.0612259,8.162840843
207.0231934,127.4029007,8.65719986
247.4516449,118.0400391,36.11207962
241.2796783,141.7837524,35.96665573
181.9183655,168.1802673,8.061239243
221.1996155,110.1394119,33.64481354
106.2896271,132.0778351,40.81646729
62.1209259,161.9113922,38.50777817
62.14611816,162.162674,38.55035019
63.73566818,161.409729,38.57956696
67.46360016,158.7702942,39.16065979
68.78256226,157.7335358,38.89302063
72.2179184,155.1026459,39.17700577
76.60557556,152.1771088,39.24714661
80.32922363,149.6396027,39
81.90461731,148.4868774,38.8977623
82.65345001,147.7019196,39.06863022
83.17433929,147.2063141,38.75357437
84.31334686,146.231369,38.25457382
85.58904266,145.0549164,38.16189575
86.09177399,144.49086,38.39344406
85.73703766,144.3727112,38.12989426
83.01338196,145.0644073,38.33936691
79.28355408,144.8243713,38.366745
78.00687408,142.54953,38.23551559
78.14059448,139.7757416,38.87149048
75.05405426,135.8876648,39.5112114
68.44935608,132.0158844,39.12306595
61.27035522,130.4392395,38.85372543
56.27046204,145.6048584,37.53042603
66.23846436,146.2893372,37.46411133
75.44862366,144.4064026,37.73865128
87.05348969,139.7234344,38.91117096
100.6530228,134.1516571,40.39324951
113.5694656,129.5803223,42.26662445
119.8696747,128.168457,41.66390228
118.9240417,128.7296753,41.91683578
116.310379,129.4415283,42.60771561
114.5692673,129.7647858,42.48279953
112.4194107,130.4734192,42.37702942
108.9025269,131.4361877,42.21001816
105.875,132.0946503,42.22852325
103.8805161,132.4892883,41.85540771
102.218895,132.7494049,41.20114136
101.6139832,132.9757385,41.27412415
102.3747406,132.4799805,41.59135818
105.2718887,131.8903503,42.13545609
107.7721024,131.1518097,42.17832947
109.0149231,130.757019,42.67105484
109.4360123,130.3812103,42.72711945
